Date,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
6/1/2013,2013,6,1,‡,17.2,,5.4,,11.3,,6.7,,0,,0,T,0,,0,T,,,,,<31,
6/2/2013,2013,6,2,‡,12.7,,8.1,,10.4,,7.6,,0,,25.4,,0,,25.4,,,,35,,43,
6/3/2013,2013,6,3,‡,14,,7.7,,10.9,,7.1,,0,,16.4,,0,,16.4,,,,31,,39,
6/4/2013,2013,6,4,‡,19.1,,3,,11.1,,6.9,,0,,0,,0,,0,,,,18,,37,
6/5/2013,2013,6,5,‡,23,,6.3,,14.7,,3.3,,0,,0,,0,,0,,,,35,,59,
6/6/2013,2013,6,6,‡,22.1,,6.4,,14.3,,3.7,,0,,0,T,0,,0,T,,,13,,43,
6/7/2013,2013,6,7,‡,23.1,,9.8,,16.5,,1.5,,0,,0.6,,0,,0.6,,,,31,,65,
6/8/2013,2013,6,8,‡,18.8,,7.7,,13.3,,4.7,,0,,1.2,,0,,1.2,,,,35,,39,
6/9/2013,2013,6,9,‡,14.8,,6.3,,10.6,,7.4,,0,,0.6,,0,,0.6,,,,31,,65,
6/10/2013,2013,6,10,‡,,,,,,,,,,,,,,,,,,,,,,
6/11/2013,2013,6,11,‡,,,,,,,,,,,,,,,,,,,,,,
6/12/2013,2013,6,12,‡,19.9,,7,,13.5,,4.5,,0,,0,,0,,0,,,,34,,44,
6/13/2013,2013,6,13,‡,16.9,,6.7,,11.8,,6.2,,0,,2.8,,0,,2.8,,,,33,,46,
6/14/2013,2013,6,14,‡,16.3,,6.4,,11.4,,6.6,,0,,7.8,,0,,7.8,,,,30,,63,
6/15/2013,2013,6,15,‡,19.1,,8.6,,13.9,,4.1,,0,,4.6,,0,,4.6,,,,30,,70,
6/16/2013,2013,6,16,‡,18.8,,7.7,,13.3,,4.7,,0,,0,,0,,0,,,,33,,48,
6/17/2013,2013,6,17,‡,21.6,,9.3,,15.5,,2.5,,0,,2,,0,,2,,,,21,,57,
6/18/2013,2013,6,18,‡,19.3,,11.2,,15.3,,2.7,,0,,6.4,,0,,6.4,,,,22,,48,
6/19/2013,2013,6,19,‡,17.7,,12.4,,15.1,,2.9,,0,,7.8,,0,,7.8,,,,4,,59,
6/20/2013,2013,6,20,‡,17.1,,11.1,,14.1,,3.9,,0,,45,,0,,45,,,,1,,72,
6/21/2013,2013,6,21,‡,15.3,,9.2,,12.3,,5.7,,0,,23,,0,,23,,,,35,,44,
6/22/2013,2013,6,22,‡,18.9,,5.7,,12.3,,5.7,,0,,0.6,,0,,0.6,,,,34,,43,
6/23/2013,2013,6,23,‡,20.6,,7.8,,14.2,,3.8,,0,,1.2,,0,,1.2,,,,1,,44,
6/24/2013,2013,6,24,‡,20.2,,6.8,,13.5,,4.5,,0,,0,,0,,0,,,,14,,39,
6/25/2013,2013,6,25,‡,21.5,,10.2,,15.9,,2.1,,0,,1.2,,0,,1.2,,,,27,,35,
6/26/2013,2013,6,26,‡,22.9,,9.4,,16.2,,1.8,,0,,0,,0,,0,,,,25,,56,
6/27/2013,2013,6,27,‡,23.1,,10.3,,16.7,,1.3,,0,,0,,0,,0,,,,27,,44,
6/28/2013,2013,6,28,‡,23.7,,11.1,,17.4,,0.6,,0,,0,,0,,0,,,,15,,37,
6/29/2013,2013,6,29,‡,25.6,,12.3,,19,,0,,1,,0,,0,,0,,,,33,,39,
6/30/2013,2013,6,30,‡,24.6,,12.7,,18.7,,0,,0.7,,0,,0,,0,,,,35,,35,
7/1/2013,2013,7,1,‡,26.9,,15.1,,21,,0,,3,,0,,0,,0,,,,14,,41,
7/2/2013,2013,7,2,‡,32.8,,16.8,,24.8,,0,,6.8,,0,,0,,0,,,,16,,39,
7/3/2013,2013,7,3,‡,25,,16,,20.5,,0,,2.5,,0,,0,,0,,,,36,,61,
7/4/2013,2013,7,4,‡,24,,13.5,,18.8,,0,,0.8,,1.8,,0,,1.8,,,,4,,56,
7/5/2013,2013,7,5,‡,19.5,,11.2,,15.4,,2.6,,0,,11.2,,0,,11.2,,,,34,,52,
7/6/2013,2013,7,6,‡,16.5,,7.2,,11.9,,6.1,,0,,0.8,,0,,0.8,,,,35,,67,
7/7/2013,2013,7,7,‡,19.6,,5.2,,12.4,,5.6,,0,,0,,0,,0,,,,10,,35,
7/8/2013,2013,7,8,‡,15.8,,11.5,,13.7,,4.3,,0,,11.8,,0,,11.8,,,,,,<31,
7/9/2013,2013,7,9,‡,25.2,,7.7,,16.5,,1.5,,0,,0,,0,,0,,,,13,,39,
7/10/2013,2013,7,10,‡,27.5,,11.8,,19.7,,0,,1.7,,0,,0,,0,,,,17,,50,
7/11/2013,2013,7,11,‡,26.3,,11.3,,18.8,,0,,0.8,,0,,0,,0,,,,32,,59,
7/12/2013,2013,7,12,‡,20.8,,8.8,,14.8,,3.2,,0,,0,T,0,,0,T,,,,,<31,
7/13/2013,2013,7,13,‡,17.7,,8.1,,12.9,,5.1,,0,,4.4,,0,,4.4,,,,34,,48,
7/14/2013,2013,7,14,‡,22.4,,9.1,,15.8,,2.2,,0,,0,,0,,0,,,,34,,57,
7/15/2013,2013,7,15,‡,16.2,,7.8,,12,,6,,0,,0.6,,0,,0.6,,,,33,,67,
